Trap Date,Genus,Specific Epithet,Gender,IDd,Count,Trap Region,Include,Comparison Group,Latitude,Longitude,Location
09/17/2013 12:00:00 AM,Anopheles,earlei,Female,,27,Outer Community-North,,Outer,53.77447650,-113.58571530,POINT (-113.5857153 53.7744765)
07/07/1992 12:00:00 AM,Mansonia,perturbans,Female,,1,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
08/22/2000 12:00:00 AM,Aedes,dorsalis,Female,,2,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
06/09/2015 12:00:00 AM,Ochlerotatus,Black legs,Female,UnID,4,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
06/16/2015 12:00:00 AM,Male,UnID,Male,UnID,3,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
08/28/2001 12:00:00 AM,Ochlerotatus,sticticus,Female,,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
08/10/2010 12:00:00 AM,Culiseta,inornata,Female,,79,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
05/30/2017 12:00:00 AM,Ochlerotatus,Black legs,Female,UnID,5,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.58141700000001)
07/02/1996 12:00:00 AM,Ochlerotatus,fitchii,Female,,2,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
07/18/2017 12:00:00 AM,Culex,tarsalis,Female,,2,Outer Community-South East,,Outer,53.33787710,-113.34249250,POINT (-113.3424925 53.3378771)
08/16/2011 12:00:00 AM,Ochlerotatus,fitchii,Female,,1,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
05/29/1990 12:00:00 AM,Culiseta,alaskaensis,Female,,6,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
05/15/2007 12:00:00 AM,Male,UnID,Male,UnID,1,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.58141700000001)
07/16/1996 12:00:00 AM,Ochlerotatus,fitchii,Female,,34,Extended Rural-South West,,Outer,53.42475000,-113.86097000,POINT (-113.86097 53.42475)
07/17/2007 12:00:00 AM,Culiseta,inornata,Female,,89,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
08/30/2016 12:00:00 AM,Male,UnID,Male,UnID,36,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
09/20/2016 12:00:00 AM,Ochlerotatus,spencerii,Female,,1,Residential-North,,Core,53.57945910,-113.49926240,POINT (-113.4992624 53.5794591)
08/12/2003 12:00:00 AM,Anopheles,earlei,Female,,2,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
08/08/2000 12:00:00 AM,Male,UnID,Male,UnID,381,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
08/27/2013 12:00:00 AM,Culex,tarsalis,Female,,1,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.22135870000001 53.6067218)
08/28/2012 12:00:00 AM,Culex,territans,Female,,1,Residential-North,,Core,53.57945910,-113.49926240,POINT (-113.4992624 53.5794591)
05/25/1993 12:00:00 AM,Culiseta,alaskaensis,Female,,2,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
08/28/1990 12:00:00 AM,Aedes,vexans,Female,,4,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
06/19/2018 12:00:00 AM,Culex,territans,Female,,7,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
07/24/1990 12:00:00 AM,Aedes,dorsalis,Female,,30,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
07/16/2013 12:00:00 AM,Culiseta,inornata,Female,,1,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
05/28/2013 12:00:00 AM,Aedes,dorsalis,Female,,2,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
